1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_No,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_Av,BsmtExposure_None,BsmtFinType1_GLQ,BsmtFinType1_ALQ,BsmtFinType1_Unf,BsmtFinType1_Rec,BsmtFinType1_BLQ,BsmtFinType1_None,BsmtFinType1_LwQ,GarageFinish_RFn,GarageFinish_Unf,GarageFinish_Fin,KitchenQual_Gd,KitchenQual_TA,KitchenQual_Ex,KitchenQual_Fa
856,854.0,3.0,706,150,0.0,548,2003.0,1710,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1262,0.0,3.0,978,284,0.0,460,1976.0,1262,9600,80.0,0.0,0,8,6,1262,0.0,1976,1976,181500,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
920,866.0,3.0,486,434,0.0,608,2001.0,1786,11250,68.0,162.0,42,5,7,920,0.0,2001,2002,223500,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
961,354.7066974595843,2.866718628215121,216,540,0.0,642,1998.0,1717,9550,60.0,0.0,35,5,7,756,0.0,1915,1970,140000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1145,354.7066974595843,4.0,655,490,0.0,836,2000.0,2198,14260,84.0,350.0,84,5,8,1145,0.0,2000,2000,250000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
796,566.0,1.0,732,64,0.0,480,1993.0,1362,14115,85.0,0.0,30,5,5,796,0.0,1993,1995,143000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1694,0.0,3.0,1369,317,0.0,636,2004.0,1694,10084,75.0,186.0,57,5,8,1686,0.0,2004,2005,307000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1107,983.0,3.0,859,216,0.0,484,1973.0,2090,10382,70.6832298136646,240.0,204,6,7,1107,0.0,1973,1973,200000,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1022,752.0,2.0,0,952,0.0,468,1931.0,1774,6120,51.0,0.0,0,5,7,952,0.0,1931,1950,129900,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1077,0.0,2.0,851,140,0.0,205,1939.0,1077,7420,50.0,0.0,4,6,5,991,0.0,1939,1950,118000,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
