GarageArea,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF
440,1928,Fa,6,1020
433,1261,TA,6,1261
576,2207,TA,7,1947
612,1686,TA,6,1686
216,1368,TA,6,684
246,438,Fa,2,290
447,1236,Gd,5,1070
796,1144,TA,5,1144
510,1894,Gd,7,817
548,1470,TA,4,941
820,2364,Ex,9,2330
400,1474,TA,7,384
668,1933,Gd,6,894
484,1436,Gd,7,1436
604,1872,TA,7,1845
338,1077,TA,5,961
455,2013,TA,7,1117
484,1632,Gd,6,800
270,1319,TA,5,608
460,1212,Gd,6,1212
497,1395,TA,6,723
765,1800,Gd,8,1800
205,1077,TA,5,991
286,1092,TA,4,546
384,1367,TA,5,861
478,1766,Ex,9,1766
384,1346,TA,4,560
308,960,Fa,4,960
430,1555,Gd,7,1373
312,1577,Fa,6,972
432,964,TA,5,876
480,1121,TA,5,1121
400,1717,Gd,7,1156
300,1601,TA,5,533
564,2978,Gd,7,710
660,1569,Gd,7,1386
693,2514,TA,7,1216
493,1660,Gd,7,831
440,1501,TA,7,744
352,694,Gd,5,440
308,930,Gd,4,0
288,864,TA,5,864
749,2262,Gd,8,1482
486,1986,TA,7,768
484,1152,TA,5,1152
586,1524,Gd,7,1332
826,1718,Gd,8,1705
900,2020,Ex,10,2006
672,1812,Gd,5,360
513,1344,TA,5,624
528,864,TA,4,864
516,2223,TA,7,2223
514,1394,TA,6,1394
250,1472,Gd,5,702
527,1434,Gd,7,1454
240,1489,TA,6,778
630,1530,Gd,7,1530
484,1309,Gd,6,1040
816,816,TA,5,816
614,1547,Gd,7,756
336,2447,Gd,6,804
532,1541,Gd,7,1541
660,1555,Gd,7,1373
460,1647,TA,6,953
550,1661,Gd,7,799
375,1336,TA,5,1165
478,1523,TA,6,1193
750,1053,Ex,5,1008
600,894,TA,5,894
420,1501,Gd,6,697
583,1680,Gd,7,1650
474,1626,Gd,7,764
480,2274,TA,5,1105
390,1484,Gd,6,742
648,1402,Gd,7,1258
270,1502,TA,7,776
472,1671,TA,6,959
472,1588,Gd,7,1588
475,1479,Gd,6,725
490,1382,Gd,7,673
338,864,TA,5,864
392,1482,Gd,7,384
834,2046,Gd,8,2046
264,816,TA,5,816
523,1682,Gd,6,804
528,860,TA,5,840
463,1690,TA,6,924
528,1164,TA,7,1164
270,1041,TA,5,1041
521,1200,Gd,6,1200
539,1349,TA,7,1349
240,520,Fa,4,520
330,1458,TA,6,912
672,1912,TA,6,482
567,1902,Ex,7,1902
439,1178,Gd,5,1176
467,1850,Gd,7,973
831,2715,Gd,8,1142
676,1590,Gd,8,768
308,1328,TA,5,1350
480,1004,TA,6,1004
408,904,TA,5,876
280,864,TA,4,864
466,1352,Gd,7,1352
322,1211,TA,5,952
478,1504,Gd,7,1504
320,1768,TA,7,880
508,2156,TA,7,1568
842,2296,Ex,10,1722
180,2057,Gd,7,1017
234,1564,Fa,7,704
544,1120,Fa,4,1040
380,1571,TA,6,799
240,2192,Gd,5,720
528,1224,Gd,6,612
832,4316,Ex,10,2444
615,2094,Gd,7,912
384,1040,TA,5,1040
458,1392,TA,6,1392
